,Company,Symbol,Industry,Identifier,Indices,Currency,Trading,urls,description
141,Core One Labs Inc.,COOL,Life Sciences,US Cannabis,,CAD,01-Sep-15,https://thecse.com/en/listings/life-sciences/core-one-labs-inc,"Core One Labs Inc. is a technology company that licenses its technology to a state-of-the-art production and packaging facility located in Southern California. The Company’s technology produces infused strips (similar to breath strips) that are not only a safer, healthier option to other forms of delivery but also superior bioavailability of cannabis constituents. Some strips will also include supplemental co-active ingredients such as nutraceuticals, vitamins and peptides. The technology provides a new way to accurately meter the dosage and assure the purity of selected product.  From start to finish, the production process, based on the Company’s technology, tests for quality and composition of all the ingredients used in each and every strip which results in a delivery system that is safe, consistent and effective. In addition, through its efforts to develop a better CannaStripsTM product, the Company has developed considerable expertise in cannabis extraction and nursery activities.  The operational expertise developed by the Company as a result of these efforts has created new market opportunities for the Company in white label sales."
142,Corsurex Resource Corp.,CRC,Mining,,,CAD,24-Sep-19,https://thecse.com/en/listings/mining/corsurex-resource-corp,The Company is a junior natural resource issuer specializing in gold exploration in Guyana.
143,Cresco Labs Inc.,CL,Life Sciences,US Cannabis,CSE25,CAD,03-Dec-18,https://thecse.com/en/listings/life-sciences/cresco-labs-inc,"Cresco Labs is one of the largest vertically-integrated multi-state cannabis operators in the United States. Cresco Labs is built to become the most important company in the cannabis industry by combining the most strategic geographic footprint with one of the leading distribution platforms in North America. Employing a consumer-packaged goods (“CPG”) approach to cannabis, Cresco Labs’ house of brands is designed to meet the needs of all consumer segments and includes some of the most recognized and trusted national brands including Cresco, Remedi and Mindy’s, a line of edibles created by James Beard Award-winning chef Mindy Segal. Sunnyside*, Cresco Labs’ national dispensary brand, is a wellness-focused retailer designed to build trust, education and convenience for both existing and new cannabis consumers. Recognizing that the cannabis industry is poised to become one of the leading job creators in the country, Cresco Labs has launched the industry’s first national comprehensive Social Equity and Educational Development (SEED) initiative designed to ensure that all members of society have the skills, knowledge and opportunity to work in and own businesses in the cannabis industry. Learn more about Cresco Labs at "
144,Cresco Labs Inc. S.V. Wts.,CL.WT,Life Sciences,,,CAD,24-Sep-19,https://thecse.com/en/listings/life-sciences/cresco-labs-inc-sv-wts,
145,Crest Resources Inc.,CRES,Mining,,,CAD,23-Oct-18,https://thecse.com/en/listings/mining/crest-resources-inc,"The Company is engaged in the business of mineral exploration and the acquisition of mineral property assets in Canada. Its objective is to locate and develop economic precious and base metal properties of merit and to conduct its exploration program on the Red Metal Ridge Property.  The Red Metal Ridge Property is comprised of six contiguous mineral titles covering an area of 1381.50 hectares, located 74 kilometres northwest of the town of Campbell River and 12 kilometres southwest of the town of Sayward on Vancouver Island, British Columbia, Canada."
146,Crestview Exploration Inc.,CRS,Mining,,CSE Composite,CAD,09-Sep-19,https://thecse.com/en/listings/mining/crestview-exploration-inc,"Crestview Exploration Inc. is engaged in the business of mineral exploration and the acquisition of mineral property assets in North America. Its objective is to identify and develop economic precious and base metal properties of merit and to conduct exploration programs thereon. The company is currently targeting to develop the Rock Creek Project in north-central Nevada, USA."
147,Cross River Ventures Corp.,CRVC,Mining,,,CAD,14-Jul-20,https://thecse.com/en/listings/mining/cross-river-ventures-corp,"Cross River Ventures is engaged in the business of exploration of mineral properties in Canada.  The Company holds an option to acquire a 100% undivided interest in the Tahsis Property, located in Northern Vancouver Island, British Columbia, in the Nanaimo Mining Division, which is in the exploration stage."
148,Cruz Cobalt Corp.,CRUZ,Mining,,,CAD,06-Aug-19,https://thecse.com/en/listings/mining/cruz-cobalt-corp,"
	Cruz Cobalt Corp is focused on acquiring and developing high-grade Cobalt projects in politically stable, environmentally responsible and ethical mining jurisdictions, essential for the rapidly growing rechargeable battery and renewable energy sectors."
149,Cryptologic Corp.,CRY,Technology,Blockchain,,CAD,19-Jan-18,https://thecse.com/en/listings/technology/cryptologic-corp,"
	Vogogo is a technology services provider focused on transaction risk management capabilities. The Company owns certain rights and software for payment processing and transaction risk services, and is pursuing opportunities to utilize such rights and software."
150,"Curaleaf Holdings, Inc.",CURA,Life Sciences,US Cannabis,CSE25,CAD,29-Oct-18,"https://thecse.com/en/listings/life-sciences/curaleaf-holdings,-inc",
151,Cyntar Ventures Inc,CYN,Mining,,,CAD,15-May-18,https://thecse.com/en/listings/mining/cyntar-ventures-inc,"
	Cyntar Ventures Inc. is a mineral exploration company that intends to acquire and explore, develop and/or operate mineral resource assets in Canada. Cyntar’s current objective is to explore and develop the Lorn Property in British Columbia, which it holds an option to acquire a 100% undivided interest in."
152,Cypherpunk Holdings Inc.,HODL,Diversified Industries,,,CAD,02-Sep-15,https://thecse.com/en/listings/diversified-industries/cypherpunk-holdings-inc,"Cypherpunk Holdings Inc. is a Canadian-based holding vehicle, set up to invest in technologies and cryptocurrencies with strong privacy."
153,Debut Diamonds Inc.,DDI,Mining,,,CAD,02-Sep-15,https://thecse.com/en/listings/mining/debut-diamonds-inc,"Debut Diamonds Inc.'s principle business activity is the acquisition, exploration and development of mineral properties with a primary focus on exploration for kimberlite hosted diamond deposits. The Company has a skilled management team with an established track record in this area, and is currently focused on its diamond bearing kimberlite discoveries in northern Ontario and additional exploration in the region."
154,DeepRock Minerals Inc.,DEEP,Mining,,,CAD,16-Nov-18,https://thecse.com/en/listings/mining/deeprock-minerals-inc,"DeepRock is a mineral resource company engaged in the acquisition, exploration and development of mineral resource properties.  The Issuer’s sole mineral resource property interest is the Ralleau Project, located approximately 90 kilometers east of Lebel-sur-Quevillon in North-Western Quebec, on which the Issuer has an option to acquire a 50% interest."
155,Deer Horn Capital Inc.,DHC,Mining,,,CAD,01-Sep-15,https://thecse.com/en/listings/mining/deer-horn-capital-inc,"
	Deer Horn Capital is committed to exploring for, and providing, strategic and critical metals vital to a low-carbon economy and for the advancement of technology. Presently focused on the extremely rare metal tellurium, Deer Horn is advancing a 51-square kilometer land package that hosts North America’s only known mineral property with a certified NI 43-101 tellurium resource. The Company’s leadership has a track record of project monetization with a board and advisory group that includes industry leaders in finance, mineral property development, geology, mineralogy, solar power, engineering, research and First Nations engagement and economic development."
156,Deveron UAS Corp.,DVR,CleanTech,,CSE Composite,CAD,21-Nov-16,https://thecse.com/en/listings/cleantech/deveron-uas-corp,"
"
157,DigiCrypts Blockchain Solutions Inc.,DIGI,Technology,Blockchain,,CAD,18-Mar-19,https://thecse.com/en/listings/technology/digicrypts-blockchain-solutions-inc,"
"
158,Dimension Five Technologies Inc.,DFT,Technology,,,CAD,12-Feb-19,https://thecse.com/en/listings/technology/dimension-five-technologies-inc,"
	The Issuer is a British Columbia-based technology company focused on developing, marketing, and acquiring software in the investment and securities trading industries."
159,Direct Communication Solutions Inc.,DCSI,Technology,,CSE Composite,CAD,08-Jan-20,https://thecse.com/en/listings/technology/direct-communication-solutions-inc,"Established in 2006 and headquartered in San Diego, CA, Direct Communication Solutions, Inc. (DCS) is a leading provider of information technology solutions for the Internet of Things (IoT) market. DCS is a value added reseller of IoT telematics devices, and a developer of its own end-to-end SaaS based intelligent business solutions. Our SaaS solutions include MIFleet™, which provides GPS Fleet monitoring and tracking and  MiSensors™, which provides machine-to-machine device management.  This year DCS, will deploy BrewSee®, a comprehensive inventory tracking system for the hospitality industry. DCS plans to develop and deploy additional sensor based telematics solutions, Web & Mobile Applications, as well as Web API Services to bring intelligence and logic to remote data collection."
160,Dixie Brands Inc.,DIXI.U,Life Sciences,US Cannabis,,USD,29-Nov-18,https://thecse.com/en/listings/life-sciences/dixie-brands-inc,"
	Dixie Brands Inc. manages, protects and promotes a portfolio of licensed intellectual property and commercialization of proprietary processes and products related to the DIXIETM brand. Dixie Brands Inc. is actively engaged in the licensing of proprietary bases, essences, and other prepared ingredients, the formula of which is an industrial secret of Dixie Brands Inc."
161,Dizun International Enterprises Inc. (formerly was KDZ/Dizun International Enterprises Inc. until 2020-05-05),KDZ.X,Diversified Industries,,,CAD,18-Sep-15,https://thecse.com/en/listings/diversified-industries/dizun-international-enterprises-inc-(formerly-was-kdz/dizun-international-enterprises-inc-until-2020-05-05),
162,DNI Metals Inc.,DNI,Mining,,,CAD,04-Jan-16,https://thecse.com/en/listings/mining/dni-metals-inc,"DNI Metals Inc. is focused on becoming a cash-flow positive graphite company, with vertical integration of mining components at the core.  DNI is developing its Vohitsara and Marofody graphite projects in Madagascar, and is completing the environmental permits .  DNI is building a small scale processing plant / Pilot plant. DNI's graphite properties are located 50km by paved road from the principal commercial port of Madagascar at Toamasina; with the main mineralization less than two km from this highway."
163,Draganfly Inc.,DFLY,Technology,,CSE Composite,CAD,05-Nov-19,https://thecse.com/en/listings/technology/draganfly-inc,"Draganfly Inc. is the creator of quality, cutting-edge, unmanned vehicle systems and software that revolutionize the way people do business. Recognized as being at the forefront of technology for over 21 years, Draganfly is an award-winning, industry-leading manufacturer within the commercial unmanned aerial vehicle (UAV) space, serving the public safety, agriculture, industrial inspections and mapping and surveying markets. Draganfly is a company driven by passion, ingenuity and the need to provide efficient solutions and first-class services to its customers around the world with the goal of saving time, money and lives."
164,Dundee Sustainable Technologies Inc.,DST,Technology,,CSE Composite,CAD,01-Sep-15,https://thecse.com/en/listings/technology/dundee-sustainable-technologies-inc,"Dundee Sustainable Technologies has developed proprietary hydrometallurgical processes for the extraction of base and precious metals from ores, concentrates and tailings, which cannot be exploited with conventional processes because of internal refractoriness or environmental considerations."
165,EarthRenew Inc.,ERTH,CleanTech,,CSE Composite,CAD,10-Jan-19,https://thecse.com/en/listings/cleantech/earthrenew-inc,"EarthRenew transforms livestock waste into a high-performance organic fertilizer to be used by organic and traditional growers in Canada and the United States. Located on a 25,000 head cattle feedlot, our flagship Strathmore plant is capable of producing up to four megawatts (MW) per hour of low-cost electricity powered by a natural gas fired turbine. The exhausted heat from the turbine is used to convert manure into certified organic fertilizer."
166,ECO ORO MINERALS CORP. J,EOM,Mining,,CSE Composite,CAD,24-Oct-17,https://thecse.com/en/listings/mining/eco-oro-minerals-corp-j,
167,Edgemont Gold Corp.,EDGM,Mining,,,CAD,01-Jun-20,https://thecse.com/en/listings/mining/edgemont-gold-corp,Edgemont Gold Corp. is focused entirely on gold exploration in Canada.   It is currently actively exploring the Dungate copper/gold porphyry project located 6 km south of Houston in the Omenica Mining Division of northern British Columbia.
168,EGF Theramed Health Corp. (formerly was TMED/Theramed Health Corporation until 2019-10-23),TMED,Technology,,CSE Composite,CAD,19-Sep-16,https://thecse.com/en/listings/technology/egf-theramed-health-corp-(formerly-was-tmed/theramed-health-corporation-until-2019-10-23),
169,Emergia Inc. (formerly was DLMA/The Delma Group Inc. until 2020-01-20),EMER,Diversified Industries,,CSE Composite,CAD,23-Mar-18,https://thecse.com/en/listings/diversified-industries/emergia-inc-(formerly-was-dlma/the-delma-group-inc-until-2020-01-20),
170,Empower Clinics Inc,CBDT,Life Sciences,US Cannabis,CSE Composite,CAD,30-Apr-18,https://thecse.com/en/listings/life-sciences/empower-clinics-inc,
171,EnviroLeach Technologies Inc.,ETI,Technology,,CSE Composite,CAD,30-Mar-17,https://thecse.com/en/listings/technology/enviroleach-technologies-inc,"EnviroLeach Technologies Inc. has developed a unique, cost-effective and environmentally friendly alternative to cyanide for the hydrometallurgical extraction of precious metals for the mining and E-waste sectors. The patent-pending EnviroLeach process is safe, eco-friendly, and provides comparable leach kinetics to high intensity cyanide on most ores, concentrates and tailings. "
172,ePlay Digital Inc.,EPY,Technology,,,CAD,01-Sep-15,https://thecse.com/en/listings/technology/eplay-digital-inc,"ePlay Digital Inc. is a mobile game developer and publisher specializing in sports, esports, and entertainment Augmented Reality (AR) titles, including their October 2019 release of AR title "
173,ESI Energy Services Inc.,OPI,Oil and Gas,,CSE Composite,CAD,01-Dec-16,https://thecse.com/en/listings/oil-and-gas/esi-energy-services-inc,"
	ESI is a pipeline equipment rental and sales company with principal operations in Leduc, Alberta and Phoenix, Arizona.  The Company, through its operating subsidiaries ESIPSL and OPI, supplies (rentals and sales) Padding Machines and pipe layers to mainline pipeline contractors and utility contractors as well as oilfield pipeline and construction contractors."
174,Etruscus Resources Corp.,ETR,Mining,,CSE Composite,CAD,15-Jan-19,https://thecse.com/en/listings/mining/etruscus-resources-corp,"Etruscus Resources Corp. is a Vancouver-based junior exploration company with a key focus of developing its 100% owned Rock & Roll project. The 5,309 hectare Rock & Roll Project sits within the prolific Golden Triangle in northwestern British Columbia, Canada.  It is located 7km northwest of the past-producing Snip Mine, currently operated by Skeena Resources. The area surrounding the Rock & Roll Property belonging to Seabridge Gold and Skeena Resources has recently seen major investment including multi-million dollar exploration programs & plans for improvements in infrastructure."
175,Eureka 93 Inc.,ERKA,Life Sciences,Cannabis,,CAD,18-Jul-19,https://thecse.com/en/listings/life-sciences/eureka-93-inc,<strong>Eureka 93 Inc. (Eureka93)</strong>
176,Eurogas International Inc.,EI,Oil and Gas,,,CAD,14-Dec-15,https://thecse.com/en/listings/oil-and-gas/eurogas-international-inc,"Eurogas International Inc. is an oil and natural gas exploration company with a mandate to identify, pursue and develop large-scale, high-impact energy projects worldwide."
177,Eurolife Brands Inc.,EURO,Life Sciences,Cannabis,CSE Composite,CAD,03-Jul-18,https://thecse.com/en/listings/life-sciences/eurolife-brands-inc,"A leading vertically integrated enterprise focused on the pan European hemp, cannabinoid, and health & wellness sector."
178,Eviana Health Corporation,EHC,Life Sciences,Cannabis,CSE25,CAD,12-Sep-17,https://thecse.com/en/listings/life-sciences/eviana-health-corporation,Eviana Health Corporation’s aim is to deliver customized consumer skin care products using natural hemp strains of cannabis sativa for cosmeceutical and nutraceutical merchandise and cannabinoid-based topical creams and products.
179,Evolving Gold Corp.,EVG,Mining,,,CAD,01-Sep-15,https://thecse.com/en/listings/mining/evolving-gold-corp,"
	Evolving Gold Corp. is a Canadian-based gold exploration company engaged in the acquisition, exploration and development of natural resource properties. The Company's focus is drill intensive exploration of properties believed to have potential for the discovery of bulk tonnage and/or high grade gold deposits of significant economic interest, most notably on its discovery properties at Carlin, Nevada and Jake Creek, Nevada."
180,eXeBlock Technology Corporation,XBLK,Technology,Blockchain,,CAD,16-Nov-17,https://thecse.com/en/listings/technology/exeblock-technology-corporation,"
	eXeBlock Technology Corp. is a designer of custom, state-of-the-art blockchain based software applications that provide profitable, secure and efficient solutions to businesses and markets globally.  eXeBlock is one of the first Canadian public companies focused on the development of disruptive Decentralized Applications using blockchain technology. It’s management team and developers are recognized leaders in the development of decentralized blockchain applications."
181,EXMceuticals Inc.,EXM,Life Sciences,Cannabis,CSE Composite,CAD,31-Jan-19,https://thecse.com/en/listings/life-sciences/exmceuticals-inc,"EXMceuticals Inc (EXM) is a Canadian company vertically integrated focused on sustainable, high-efficiency, large-scale extraction of cannabinoids with offices in Canada and Portugal. EXM produces API's - active pharmaceuticals ingredients- for the medical and consumer goods markets.  Existing licensed activities include cannabis research, cultivation and extraction. Future activities will add refining, transformation and distribution of ingredients in compliance with the international legal market."
182,Exro Technologies Inc.,XRO,Technology,,CSE Composite,CAD,29-Aug-17,https://thecse.com/en/listings/technology/exro-technologies-inc,"Exro Technologies Inc. (""Exro"") is a Vancouver-based company commercializing patented technology designed to advance existing rotating electric machines. The technology enables motor and generator systems to operate more efficiently providing benefit to sustainable and renewable electricity generation markets, as well as variable load industrial and commercial applications for motors. 
Exro's strategy is to commercialize its proprietary technology through strategic partnerships for specific near-term market opportunities. The Company’s technology potentially has a wide variety of applications such as wind energy, drones, and electric/hybrid vehicles. Exro's business model is to develop license partners, with leading market positions and innovation based growth strategies."
183,Fandom Sports Media Corp.,FDM,Technology,,CSE Composite,CAD,03-Aug-16,https://thecse.com/en/listings/technology/fandom-sports-media-corp,“Pick A Fight. Talk Trash. Get Rewarded.”
184,FansUnite Entertainment Inc. (formerly was FANS/FansUnite Entertainment Inc until 2020-05-14),FANS,Technology,,,CAD,05-May-20,https://thecse.com/en/listings/technology/fansunite-entertainment-inc-(formerly-was-fans/fansunite-entertainment-inc-until-2020-05-14),
185,Far Resources Ltd.,FAT,Mining,,,CAD,02-Sep-15,https://thecse.com/en/listings/mining/far-resources-ltd,"Far Resources Ltd. is a Canadian battery metal exploration and development company with two lithium projects in Canada 1. Zoro Lithium (Manitoba) and 2. Hidden Lake lithium project ( Yellowknife)  and 1 gold mine the USA Winston Gold mine (New Mexico). Far will be active throughout the entire Battery value chain through its Joint venture with Battmat technologies, Far Resources will commercialize lithium-ion battery technology for various operating fields such as marine, static grid, EV efficiency. For more information on Far is available at "
186,FenixOro Gold Corp.,FENX,Mining,,,CAD,21-May-20,https://thecse.com/en/listings/mining/fenixoro-gold-corp,"FenixOro Gold Corp is a Canadian company focused on acquiring gold projects with world class exploration potential in the most prolific gold producing regions of Colombia. FenixOro’s flagship property, the Abriaqui project, is located 15 km west of Continental Gold’s Buritica project in Antioquia State at the northern end of the Mid-Cauca gold belt, a geological trend which has seen multiple large gold discoveries in the past 10 years including Buritica and Anglo Gold’s Nuevo Chaquiro and La Colosa.  As documented in “NI 43-101 Technical Report on the Abriaqui project Antioquia State, Colombia” (December 5, 2019), the geological characteristics of Abriaqui and Buritica are very similar.  The report also documents the high gold grade at Abriaqui with samples taken from 20 of the veins assaying greater than 20 g/t gold.  Abriaqui has not yet been drilled but surface and underground geological mapping and sampling as well as a preliminary magnetometry survey have been completed.  The property is drill-ready pending finalization of the government permitting process.  "
187,FinCanna Capital Corp.,CALI,Life Sciences,Cannabis,CSE Composite,CAD,29-Dec-17,https://thecse.com/en/listings/life-sciences/fincanna-capital-corp,"
	FinCanna Capital Corp. is a royalty company for the licensed medical cannabis industry which invests in sizable and scalable best-in-class businesses. The Issuer’s business objective is to provide capital solutions to companies in the medical cannabis industry with large scale potential, a highly skilled and experienced operator, which plan to produce high value, high demand licensed medical products or related products and services.  "
188,Fineqia International Inc.,FNQ,Diversified Industries,,,CAD,01-Nov-16,https://thecse.com/en/listings/diversified-industries/fineqia-international-inc,"
"
189,Fiorentina Minerals Inc.,FLO,Mining,,,CAD,21-Oct-19,https://thecse.com/en/listings/mining/fiorentina-minerals-inc,"The Company is engaged in the business of mineral exploration and the acquisition of mineral property assets in Canada.  Its objective is to locate and develop economic precious and base metal properties of merit and to conduct its exploration program on the Consortium Project.  The Consortium Project is comprised of three mineral claims covering an area of 1161.10 hectares, located on Vancouver Island, British Columbia, approximately 35 kilometres south of the town of Sayward in the Nanaimo Mining Division."
190,First Energy Metals Limited,FE,Mining,,CSE Composite,CAD,01-Mar-19,https://thecse.com/en/listings/mining/first-energy-metals-limited,"First Energy Metals Limited is a junior resource company engaged in the exploration and development of precious and energy metals such as lithium, cobalt, and gold within its property portfolio in North America. The Company's goal is to acquire and develop prospective technology and precious metals properties. The Company currently holds an option to acquire 100% interest in Phyllis Cobalt property in Ontario. In addition, First Energy Metals holds option agreement on the following exploration gold properties- Kokanee Creek and Independence Gold properties located in the Province of British Columbia and the Scramble Mine Property located in Ontario, Canada. First Energy Metals Limited (formerly ""Agave Silver "") was incorporated on October 12, 1966 in the Province of British Columbia. The Company's common shares trade on the Canadian Securities Exchange (CSE) under the symbol FE and are also listed on the US OTC Markets (Pink) as ASKDF and on the Frankfurt Stock Exchange as A2JC89."
191,First Growth Funds Limited,FGFL,Diversified Industries,Blockchain,,CAD,29-Jun-20,https://thecse.com/en/listings/diversified-industries/first-growth-funds-limited,"The Company provides Advisory Services to companies and invests across a diversified portfolio of different asset classes, including equity and convertible note investments in large and small cap public listed and private companies. The Company also invests in technology companies involved in the development of blockchain solutions as well as direct investments in established and liquid Cryptocurrency (for example Bitcoin and Ethereum). "
192,First Responder Technologies Inc.,WPN,Technology,,CSE Composite,CAD,16-Jan-20,https://thecse.com/en/listings/technology/first-responder-technologies-inc,"
	First Responder Technologies Inc. is a Vancouver B.C. based technology development company, developing a WiFi-based concealed weapons detection system, focused on protecting the perimeter of soft targets, such as places of worship, theatres, shopping centres and sports venues, where the public is most vulnerable to acts of terrorism and mass shootings."
193,Flow Metals Corp.,FWM,Mining,,,CAD,22-Jun-20,https://thecse.com/en/listings/mining/flow-metals-corp,Flow Metals is a Canadian gold exploration company based in Vancouver. The Company seeks exciting data rich gold projects with low capital requirements. The Company holds a 100% interest in three Canadian gold projects.
194,Flower One Holdings Inc.,FONE,Life Sciences,US Cannabis,CSE25,CAD,10-Oct-18,https://thecse.com/en/listings/life-sciences/flower-one-holdings-inc,"Flower One is the largest cannabis cultivator, producer and full-service brand fulfillment partner in the state of Nevada. Flower One's fully operational flagship 400,000 square-foot greenhouse and 55,000 square-foot production facility is used for cannabis cultivation, processing, production and manufacturing of dry flower, pre-rolls, cannabis oils, distillates, concentrates, edibles, topicals and infused products. The Company also operates a 25,000 square-foot indoor cultivation and production facility in North Las Vegas, with nine grow rooms, and a state of the art commercial kitchen that will produce several of the industry’s top performing edible brands.

Leveraging its scale and more than 20 years of greenhouse operational excellence, Flower One offers consistent, reliable, high-volume, and just-in-time fulfillment to a growing number of established cannabis brands. The Company is fully licensed for both recreational and medical marijuana cultivation and production in the state of Nevada."
195,Flower One Holdings Inc. 9.5% 15NOV22,FONE.DB.A,Life Sciences,,,CAD,18-Nov-19,https://thecse.com/en/listings/life-sciences/flower-one-holdings-inc-95%-15nov22,
196,Flower One Holdings Inc. 9.5% 28MAR22,FONE.DB,Life Sciences,US Cannabis,,CAD,28-Mar-19,https://thecse.com/en/listings/life-sciences/flower-one-holdings-inc-95%-28mar22,
197,Flower One Holdings Inc. A Wts.,FONE.WT.A,Life Sciences,,,CAD,18-Nov-19,https://thecse.com/en/listings/life-sciences/flower-one-holdings-inc-a-wts,
198,Flower One Holdings Inc.Wts.,FONE.WT,Life Sciences,US Cannabis,,CAD,28-Mar-19,https://thecse.com/en/listings/life-sciences/flower-one-holdings-incwts,
199,FogChain Corp,FOG,Technology,,,CAD,29-May-18,https://thecse.com/en/listings/technology/fogchain-corp, 
200,Four Nines Gold Inc.,FNAU,Mining,,,CAD,31-Aug-17,https://thecse.com/en/listings/mining/four-nines-gold-inc,"Four Nines Gold Inc. is a mineral exploration company with a focus on the exploration and development of the Mariposa gold project, located in the White Gold district of the Yukon Territory."
201,Fox River Resources Corporation,FOX,Mining,,,CAD,05-Feb-16,https://thecse.com/en/listings/mining/fox-river-resources-corporation,
202,Freeman Gold Corp. (formerly was LDG/Lodge Resources Inc. until 2020-05-20),FMAN,Mining,,CSE Composite,CAD,11-Nov-19,https://thecse.com/en/listings/mining/freeman-gold-corp-(formerly-was-ldg/lodge-resources-inc-until-2020-05-20),
203,FSD Pharma Inc. Subordinate Voting Shares,HUGE,Life Sciences,Cannabis,CSE Composite,CAD,29-May-18,https://thecse.com/en/listings/life-sciences/fsd-pharma-inc-subordinate-voting-shares,"FSD Pharma is targeting all legal aspects of the cannabis industry, including cultivation, processing, manufacturing, extracts and research and development."
204,Future Farm Technologies Inc.,FFT,Technology,Cannabis,CSE Composite,CAD,07-Mar-16,https://thecse.com/en/listings/technology/future-farm-technologies-inc,"
	Future Farm Technologies is a Canadian public company that is poised to be a leading supplier of hemp-derived CBD products to meet the burgeoning demand in the U.S. and global markets. The Company’s current key initiatives are the cultivation and processing of its hemp crop growing in Maine, the pursuit of other hemp-related opportunities throughout the U.S. and the development of elite strains of cannabis in Canada."
205,GABY Inc. (formerly was GABY/Gabriella's Kitchen Inc. until 2019-10-21),GABY,Diversified Industries,US Cannabis,CSE Composite,CAD,05-Sep-18,https://thecse.com/en/listings/diversified-industries/gaby-inc-(formerly-was-gaby/gabriella's-kitchen-inc-until-2019-10-21),
206,Gaia Grow Corp.,GAIA,Life Sciences,Cannabis,CSE Composite,CAD,16-Apr-20,https://thecse.com/en/listings/life-sciences/gaia-grow-corp,"Gaia Grow Corp. (the “Company”) is a licenced cultivator of industrial hemp. The Company’s business model leverages contract farming to utilize existing farmland and skilled farmers to cultivate industrial hemp, which it then sells to processors to be turned into hemp fibre and cannabidiol oil and concentrates. The Company expects to expand its operations to include retail cannabis stores in British Columbia."
207,Gallagher Security Corp.,GLL,Technology,Blockchain,,CAD,26-Feb-18,https://thecse.com/en/listings/technology/gallagher-security-corp,
208,Gencan Capital Inc.,GCA,Diversified Industries,,,CAD,09-Nov-15,https://thecse.com/en/listings/diversified-industries/gencan-capital-inc,"
	Gencan Capital Inc. carried on a solar energy operation business in Ontario under a Feed-In-Tariff Contract with the Independent Electricity System Operator (formerly the Ontario Power Authority) from August 2014 up until its sale on July 4, 2018. As a result, the Company is evaluating potential new prospects."
209,Generic Gold Corp.,GGC,Mining,,,CAD,01-Mar-18,https://thecse.com/en/listings/mining/generic-gold-corp,"
	Generic Gold is a Canadian mineral exploration company focused on gold projects in the Tintina Gold Belt in the Yukon Territory of Canada. Generic Gold's exploration portfolio consists of ten projects with a total land position of 39,820 hectares, all of which are 100% owned by Generic Gold. Several of these projects are in close proximity to significant gold deposits with multi-million ounce NI 43-101-compliant resources, including Goldcorp’s Coffee project, Victoria Gold’s Eagle Gold project, White Gold’s Golden Saddle project, and Western Copper & Gold’s Casino project. Generic Gold's board of directors and management team is led by experienced mining industry professionals, with expertise in exploration, finance, capital markets, and mine development."
210,Genius Metals Inc,GENI,Mining,,,CAD,31-Oct-18,https://thecse.com/en/listings/mining/genius-metals-inc,"The Issuer is a Canadian mineral exploration company focused on the acquisition, exploration and, if warranted, development of natural resource properties of merit in Canada."
211,Getchell Gold Corp.,GTCH,Mining,,CSE Composite,CAD,03-Dec-18,https://thecse.com/en/listings/mining/getchell-gold-corp,"The Issuer is a junior mining exploration and development company engaged in the acquisition, exploration and development of mineral prospects in Nevada."
212,Glenbriar Technologies Inc.,GTI.X,Technology,,,CAD,03-Sep-15,https://thecse.com/en/listings/technology/glenbriar-technologies-inc,"The Exchange has determined that Glenbriar Technologies Inc.(the “Issuer”) has not met the continued listing requirements as set out in CSE Policy 2, Appendix A section 2.9."
213,Global Cannabis Applications Corp.,APP,Technology,"Cannabis, Blockchain",,CAD,01-Sep-15,https://thecse.com/en/listings/technology/global-cannabis-applications-corp,"
"
214,Global Care Capital Inc. (formerly was RIN/Resinco Capital Partners Inc. until 2020-04-16),HLTH,Diversified Industries,,CSE Composite,CAD,28-May-18,https://thecse.com/en/listings/diversified-industries/global-care-capital-inc-(formerly-was-rin/resinco-capital-partners-inc-until-2020-04-16),
215,Global Elsimate Capital Corp. (formerly was CRYP/Cryptobloc Technologies Corp. until 2020-02-05),GECC,Technology,Blockchain,,CAD,09-Apr-18,https://thecse.com/en/listings/technology/global-elsimate-capital-corp-(formerly-was-cryp/cryptobloc-technologies-corp-until-2020-02-05),
216,Global Health Clinics Ltd.,MJRX,Life Sciences,Cannabis,,CAD,29-Aug-18,https://thecse.com/en/listings/life-sciences/global-health-clinics-ltd,"
	Global Health Clinics operates a two-part system of customer lead generation and conversion, through its network of pavilions and the ownership and operation of five medical clinics that aim to connect Canadians with ACMPR license producers by advancing the understanding of medical cannabis and its applications, and the provision of related services and products for patients suffering from illness from which they may find relief with medical cannabis, including facilitating access to qualified health care practitioners, independent medical cannabis evaluations and related advice. Through its pavilions, the company is developing a substantive consumer database of persons interested in both medicinal and recreational use"
217,Global Hemp Group Inc.,GHG,Diversified Industries,US Cannabis,,CAD,01-Sep-15,https://thecse.com/en/listings/diversified-industries/global-hemp-group-inc,"Global Hemp Group Inc. (GHG), is focused on a multi-phased strategy to build a strong presence in the industrial hemp industry in the United States. The first phase of this strategy is to develop hemp cultivation for cannabinoid (CBD, CBG, CBN & CBC) extraction, creating a near term revenue stream that will allow the Company to expand and develop successive phases of the strategy. The Company’s Joint Venture hemp farm in the state of Oregon, in the United States, is an example of the execution of this first phase of the strategy ("
